Data/Hora,ID,X_DH,Y_DH,Z_DH
20:19:45,P_1,-4.38,87.24,67.55
20:19:46,P_2,-3.7,87.82,67.91
20:19:47,P_3,-3.36,87.05,68.35
20:19:48,P_4,-2.76,86.51,69.84
20:19:49,P_5,-2.26,86.86,70.52
20:19:50,P_6,-3.31,87.04,67.33
20:19:52,P_7,-3.8,87.33,68.58
20:19:53,P_8,-4.53,87.51,67.82
20:19:54,P_9,-4.74,87.33,67.85
20:19:55,P_10,-3.34,88.05,70.24
20:19:56,P_11,-2.91,87.74,68.89
20:19:57,P_12,-1.5,87.12,72.27
20:19:58,P_13,-2.13,86.79,67.07
20:19:59,P_14,-2.16,87.84,70.68
20:20:00,P_15,-2.77,88.09,69.31
20:20:01,P_16,-3.41,87.17,69.38
20:20:02,P_17,-1.78,87.83,68.74
20:20:03,P_18,-3.12,87.99,68.06
20:20:04,P_19,-3.11,87.29,68.5
20:20:06,P_20,-2.56,86.3,68.52
20:20:07,P_21,-2.59,88.02,67.98
20:20:08,P_22,-2.51,88.06,69.08
20:20:09,P_23,-3.42,88.89,68.25
20:20:10,P_24,-2.49,88.12,68.61
20:20:11,P_25,-3.14,89.14,67.98
20:20:12,P_26,-2.56,89.35,68.85
20:20:13,P_27,-2.44,88.42,67.89
20:20:14,P_28,-1.14,88.56,68.94
20:20:15,P_29,-2.52,88.4,68.54
20:20:16,P_30,-2.18,89.23,68.77
20:20:17,P_31,-3.4,87.51,69.83
20:20:18,P_32,-2.83,88.33,66.72
20:20:19,P_33,-2.23,88.7,67.38
20:20:21,P_34,-1.84,88.73,65.03
20:20:22,P_35,-2.51,88.55,66.67
20:20:23,P_36,-4.17,89.66,64.24
20:20:24,P_37,-0.02,87.18,68.04
20:20:25,P_38,-5.18,88.92,68.28
20:20:26,P_39,-1.74,88.84,69.36
20:20:27,P_40,-2.33,88.61,68.7
20:20:28,P_41,-2.82,89.97,67.31
20:20:30,P_42,-2.68,89.52,65.37
20:20:31,P_43,-3.83,87.59,68.86
20:20:32,P_44,-2.53,88.5,70.15
20:20:33,P_45,-2.72,88.05,68.37
20:20:34,P_46,-3.18,88.39,68.53
20:20:35,P_47,-2.76,88.32,68.92
20:20:37,P_48,-2.53,88.07,69.07
20:20:38,P_49,-2.64,88.36,68.64
20:20:39,P_50,-3.13,87.77,67.19
20:20:40,P_51,-3.08,87.99,69.78
20:20:41,P_52,-1.91,87.41,68.59
20:20:42,P_53,-1.89,88.78,68.69
20:20:43,P_54,-2.52,88.59,68.01
20:20:44,P_55,-3.26,88.22,67.84
20:20:45,P_56,-2.36,87.61,69.03
20:20:46,P_57,-2.09,87.79,67.84
20:20:47,P_58,-1.95,87.86,67.8
20:20:49,P_59,-1.35,87.8,70.17
20:20:50,P_60,-1.17,88.49,69.77
20:20:51,P_61,-1.9,87.09,70.62
20:20:52,P_62,-2.66,88.25,68.03
20:20:53,P_63,-1.74,87.0,66.78
20:20:55,P_64,-0.66,86.96,69.61
20:20:56,P_65,-3.25,88.57,67.15
20:20:58,P_66,-3.17,89.3,67.72
20:20:59,P_67,-2.52,89.12,67.2
20:21:00,P_68,-2.06,87.74,68.02
20:21:01,P_69,-1.43,88.33,67.2
20:21:02,P_70,-1.96,88.83,69.23
20:21:03,P_71,-2.31,88.37,68.94
20:21:04,P_72,-1.3,88.94,66.21
20:21:06,P_73,-0.3,87.22,68.62
20:21:07,P_74,-2.08,89.48,65.47
